generated_at_jst,catalog_row_id,title,price,repo_url,structured_form_url,payment_activation_url,autonomous_response,user_only_gate,money_rule
2026-06-11 18:26:17 JST,hot-download-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,$175,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,hot-download-pdf-table-extraction-starter,PDF Table Extraction Starter,$125,https://github.com/jaxassistant55/pdf-table-extraction-starter,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-first-100-fast-start,First $100 Fast Start,$100,https://github.com/jaxassistant55/jax-micro-offer-studio,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-static-demo-site-customization,Static Demo Site Customization,$200,https://github.com/jaxassistant55/static-service-site-starter,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-static-service-site-starter,Static Service Site Starter,$200,https://github.com/jaxassistant55/static-service-site-starter,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-local-seo-gbp-audit,Local SEO / GBP Audit,$175,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,$175,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,$150,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-niche-quote-estimator,Niche Quote Estimator,$150,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-niche-quote-estimator-starter,Niche Quote Estimator Starter,$150,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-technical-docs-cleanup,Technical Docs Cleanup,$150,https://github.com/jaxassistant55/technical-docs-cleanup-starter,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-technical-docs-cleanup-starter,Technical Docs Cleanup Starter,$150,https://github.com/jaxassistant55/technical-docs-cleanup-starter,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-website-audit-microservice,Website Audit Microservice,$150,https://github.com/jaxassistant55/website-audit-microservice-starter,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-website-audit-microservice-starter,Website Audit Microservice Starter,$150,https://github.com/jaxassistant55/website-audit-microservice-starter,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-workflow-tracker-dashboard-starter,Workflow Tracker Dashboard Starter,$150,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-career-packet-starter,Career Packet Starter,$125,https://github.com/jaxassistant55/career-packet-starter,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-client-intake-sop-starter,Client Intake SOP Starter,$125,https://github.com/jaxassistant55/client-intake-sop-starter,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-client-intake-and-sop-package,Client Intake and SOP Package,$125,https://github.com/jaxassistant55/client-intake-sop-starter,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,central-data-cleanup-sprint,Data Cleanup Sprint,$125,https://github.com/jaxassistant55/data-cleanup-sprint-starter,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-data-cleanup-sprint-starter,Data Cleanup Sprint Starter,$125,https://github.com/jaxassistant55/data-cleanup-sprint-starter,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
2026-06-11 18:26:17 JST,standalone-pdf-table-extraction-starter,PDF Table Extraction Starter,$125,https://github.com/jaxassistant55/pdf-table-extraction-starter,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"If a non-assistant buyer opens a ready-to-pay or ready-to-buy issue, post the safe next-step checklist, label the issue, and route to payment activation after scope acceptance.","Seller-owned external checkout, invoice, marketplace order, funded milestone, payout/tax setup, private delivery, and verified posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared."
