timestamp_jst,file,changed,replacement_count,replacements,money_confirmed_usd
2026-06-11 14:22:22 JST,buyer-intent-router.html,1,14,jaxassistant55/automation-blueprint-starter:prefilled|jaxassistant55/career-packet-starter:prefilled|jaxassistant55/client-intake-sop-starter:prefilled|jaxassistant55/content-repurposing-sprint-starter:prefilled|jaxassistant55/data-cleanup-sprint-starter:prefilled|jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/niche-quote-estimator-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled|jaxassistant55/static-service-site-starter:prefilled|jaxassistant55/technical-docs-cleanup-starter:prefilled|jaxassistant55/website-audit-microservice-starter:prefilled|jaxassistant55/workflow-tracker-dashboard-starter:prefilled,0
2026-06-11 14:22:22 JST,case-studies.html,1,2,jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,close-service-order.html,1,32,jaxassistant55/automation-blueprint-starter:prefilled|jaxassistant55/career-packet-starter:prefilled|jaxassistant55/client-intake-sop-starter:prefilled|jaxassistant55/content-repurposing-sprint-starter:prefilled|jaxassistant55/data-cleanup-sprint-starter:prefilled|jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/niche-quote-estimator-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled|jaxassistant55/resale-listing-research-starter:prefilled|jaxassistant55/static-service-site-starter:prefilled|jaxassistant55/subscription-audit-savings-starter:prefilled|jaxassistant55/technical-docs-cleanup-starter:prefilled|jaxassistant55/translation-localization-draft-starter:prefilled|jaxassistant55/website-audit-microservice-starter:prefilled|jaxassistant55/workflow-tracker-dashboard-starter:prefilled,0
2026-06-11 14:22:22 JST,download-followup.html,1,32,jaxassistant55/automation-blueprint-starter:prefilled|jaxassistant55/browser-extension-template-preview:prefilled|jaxassistant55/career-packet-starter:prefilled|jaxassistant55/client-intake-sop-starter:prefilled|jaxassistant55/content-repurposing-sprint-starter:prefilled|jaxassistant55/data-cleanup-sprint-starter:prefilled|jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/niche-quote-estimator-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled|jaxassistant55/resale-listing-research-starter:prefilled|jaxassistant55/static-service-site-starter:prefilled|jaxassistant55/subscription-audit-savings-starter:prefilled|jaxassistant55/technical-docs-cleanup-starter:prefilled|jaxassistant55/translation-localization-draft-starter:prefilled|jaxassistant55/website-audit-microservice-starter:prefilled|jaxassistant55/workflow-tracker-dashboard-starter:prefilled,0
2026-06-11 14:22:22 JST,github-leads.html,1,16,jaxassistant55/automation-blueprint-starter:prefilled|jaxassistant55/browser-extension-template-preview:prefilled|jaxassistant55/career-packet-starter:prefilled|jaxassistant55/client-intake-sop-starter:prefilled|jaxassistant55/content-repurposing-sprint-starter:prefilled|jaxassistant55/data-cleanup-sprint-starter:prefilled|jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/niche-quote-estimator-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled|jaxassistant55/resale-listing-research-starter:prefilled|jaxassistant55/static-service-site-starter:prefilled|jaxassistant55/subscription-audit-savings-starter:prefilled|jaxassistant55/technical-docs-cleanup-starter:prefilled|jaxassistant55/translation-localization-draft-starter:prefilled|jaxassistant55/website-audit-microservice-starter:prefilled|jaxassistant55/workflow-tracker-dashboard-starter:prefilled,0
2026-06-11 14:22:22 JST,hot-download-close-local-seo-gbp-audit-starter.html,1,1,jaxassistant55/local-seo-gbp-audit-starter:prefilled,0
2026-06-11 14:22:22 JST,hot-download-close-pdf-table-extraction-starter.html,1,1,jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,local-seo-gbp-audit.html,1,1,jaxassistant55/local-seo-gbp-audit-starter:prefilled,0
2026-06-11 14:22:22 JST,local-seo-gbp-brief-builder.html,1,1,jaxassistant55/local-seo-gbp-audit-starter:prefilled,0
2026-06-11 14:22:22 JST,order-now.html,1,18,jaxassistant55/automation-blueprint-starter:prefilled|jaxassistant55/browser-extension-template-preview:prefilled|jaxassistant55/career-packet-starter:prefilled|jaxassistant55/client-intake-sop-starter:prefilled|jaxassistant55/content-repurposing-sprint-starter:prefilled|jaxassistant55/data-cleanup-sprint-starter:prefilled|jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/niche-quote-estimator-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled|jaxassistant55/resale-listing-research-starter:prefilled|jaxassistant55/static-service-site-starter:prefilled|jaxassistant55/subscription-audit-savings-starter:prefilled|jaxassistant55/technical-docs-cleanup-starter:prefilled|jaxassistant55/translation-localization-draft-starter:prefilled|jaxassistant55/website-audit-microservice-starter:prefilled|jaxassistant55/workflow-tracker-dashboard-starter:prefilled,0
2026-06-11 14:22:22 JST,pdf-table-extraction.html,1,1,jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,pdf-table-intake-builder.html,1,1,jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,pricing.html,1,2,jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,products.html,1,2,jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,ready-to-buy-local-seo-gbp-audit.html,1,1,jaxassistant55/local-seo-gbp-audit-starter:prefilled,0
2026-06-11 14:22:22 JST,ready-to-buy-pdf-table-extraction.html,1,1,jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,ready-to-buy.html,1,2,jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,samples.html,1,2,jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled,0
2026-06-11 14:22:22 JST,services.html,1,2,jaxassistant55/local-seo-gbp-audit-starter:prefilled|jaxassistant55/pdf-table-extraction-starter:prefilled,0
