generated_at_jst,slug,title,price,price_usd,first_100_path,offer_url,ready_to_buy_url,buyer_inquiry_url,order_board_url,standalone_landing_url,lead_tool_url,safe_inputs,deliverables,invoice_line_item,buyer_reply_script,scope_acceptance_script,payment_boundary_script,proof_required,stop_conditions,money_counting_rule
2026-06-11 12:25:17 JST,static-demo-site-customization,Static Demo Site Customization,$200,200,One starter site clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-static-demo-site-customization.html,https://jaxassistant55.github.io/static-service-site-starter/inquiry.html,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://jaxassistant55.github.io/static-service-site-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-brief-builder.html,"Business name, public service description, service area, brand colors, public testimonials only if authorized, and preferred call to action.","Customized static site folder, preview link or ZIP, content checklist, and launch notes.","Static Demo Site Customization fixed-scope service - Customized static site folder, preview link or ZIP, content checklist, and launch notes. - $200","Thanks for the request. I can do Static Demo Site Customization for $200 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Business name, public service description, service area, brand colors, public testimonials only if authorized, and preferred call to action.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Static Demo Site Customization at $200.

Included deliverables: Customized static site folder, preview link or ZIP, content checklist, and launch notes.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $200, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
2026-06-11 12:25:17 JST,local-seo-gbp-audit,Local SEO / GBP Audit,$175,175,One audit clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-local-seo-gbp-audit.html,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/inquiry.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-brief-builder.html,"Public business profile URL, public website URL, target services, service area, and known citation/profile concerns.","Audit report, citation cleanup tracker, profile-copy suggestions, and review-response templates.","Local SEO / GBP Audit fixed-scope service - Audit report, citation cleanup tracker, profile-copy suggestions, and review-response templates. - $175","Thanks for the request. I can do Local SEO / GBP Audit for $175 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Public business profile URL, public website URL, target services, service area, and known citation/profile concerns.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Local SEO / GBP Audit at $175.

Included deliverables: Audit report, citation cleanup tracker, profile-copy suggestions, and review-response templates.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $175, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
2026-06-11 12:25:17 JST,ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,$150,150,One fixed-price order clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-ai-workflow-tracker-sprint.html,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/inquiry.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-brief-builder.html,"Pipeline columns, sample non-sensitive rows, workflow stages, status definitions, and the buyer's reporting goal.","CSV tracker, static dashboard, status definitions, and quickstart.","AI Workflow Tracker Sprint fixed-scope service - CSV tracker, static dashboard, status definitions, and quickstart. - $150","Thanks for the request. I can do AI Workflow Tracker Sprint for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Pipeline columns, sample non-sensitive rows, workflow stages, status definitions, and the buyer's reporting goal.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for AI Workflow Tracker Sprint at $150.

Included deliverables: CSV tracker, static dashboard, status definitions, and quickstart.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
2026-06-11 12:25:17 JST,niche-quote-estimator,Niche Quote Estimator,$150,150,One custom estimator clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-niche-quote-estimator.html,https://jaxassistant55.github.io/niche-quote-estimator-starter/inquiry.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://jaxassistant55.github.io/niche-quote-estimator-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/quote-estimator-scope-builder.html,"Pricing factors, minimum fee, add-ons, exclusions, example jobs, and the buyer's rounding/discount rules.","Browser estimator HTML, pricing assumptions CSV, test cases, and buyer handoff note.","Niche Quote Estimator fixed-scope service - Browser estimator HTML, pricing assumptions CSV, test cases, and buyer handoff note. - $150","Thanks for the request. I can do Niche Quote Estimator for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Pricing factors, minimum fee, add-ons, exclusions, example jobs, and the buyer's rounding/discount rules.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Niche Quote Estimator at $150.

Included deliverables: Browser estimator HTML, pricing assumptions CSV, test cases, and buyer handoff note.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
2026-06-11 12:25:17 JST,technical-docs-cleanup,Technical Docs Cleanup,$150,150,One docs sprint clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-cleanup.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-technical-docs-cleanup.html,https://jaxassistant55.github.io/technical-docs-cleanup-starter/inquiry.html,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://jaxassistant55.github.io/technical-docs-cleanup-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-audit-brief-builder.html,"Public README/docs URL or buyer-authorized text, target reader, install path, failure points, and preferred style.","Rewrite sample, docs audit rubric, checklist, and handoff report.","Technical Docs Cleanup fixed-scope service - Rewrite sample, docs audit rubric, checklist, and handoff report. - $150","Thanks for the request. I can do Technical Docs Cleanup for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Public README/docs URL or buyer-authorized text, target reader, install path, failure points, and preferred style.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Technical Docs Cleanup at $150.

Included deliverables: Rewrite sample, docs audit rubric, checklist, and handoff report.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
2026-06-11 12:25:17 JST,website-audit-microservice,Website Audit Microservice,$150,150,One accepted audit clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-microservice.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-website-audit-microservice.html,https://jaxassistant55.github.io/website-audit-microservice-starter/inquiry.html,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,https://jaxassistant55.github.io/website-audit-microservice-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-lite.html,"Public website URL, target audience, target conversion, three competitor URLs if available, and the buyer's allowed improvement priorities.","One HTML/PDF audit, prioritized fixes, screenshots or cited sections, and a concise next-action list.","Website Audit Microservice fixed-scope service - One HTML/PDF audit, prioritized fixes, screenshots or cited sections, and a concise next-action list. - $150","Thanks for the request. I can do Website Audit Microservice for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Public website URL, target audience, target conversion, three competitor URLs if available, and the buyer's allowed improvement priorities.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Website Audit Microservice at $150.

Included deliverables: One HTML/PDF audit, prioritized fixes, screenshots or cited sections, and a concise next-action list.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
2026-06-11 12:25:17 JST,client-intake-and-sop-package,Client Intake and SOP Package,$125,125,One package clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-and-sop-package.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-client-intake-and-sop-package.html,https://jaxassistant55.github.io/client-intake-sop-starter/inquiry.html,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,https://jaxassistant55.github.io/client-intake-sop-starter/,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-sop-builder.html,"Current intake steps, public service description, required fields, approval stages, and handoff owner names or roles.","Intake question bank, SOP draft, delivery checklist, and owner handoff notes.","Client Intake and SOP Package fixed-scope service - Intake question bank, SOP draft, delivery checklist, and owner handoff notes. - $125","Thanks for the request. I can do Client Intake and SOP Package for $125 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Current intake steps, public service description, required fields, approval stages, and handoff owner names or roles.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Client Intake and SOP Package at $125.

Included deliverables: Intake question bank, SOP draft, delivery checklist, and owner handoff notes.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Do not start paid custom work or release paid files until the buyer accepts scope and an external payment/proof route controlled by the seller is funded, posted, released, payable, or otherwise saveable as proof.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","Stop if there is no real buyer, no accepted scope, no user-owned payment route, no right to use the input files, private data is exposed publicly, the buyer asks for regulated advice, or payment proof is missing.","Count $0 until external payment proof exists; after proof exists, record only the verified posted/released/payable amount net of refunds and platform holds."
