generated_at_jst,repo,title,type,price,download_count,release_url,asset_url,close_ready_asset_url,standalone_landing_url,prefilled_inquiry_url,repo_order_issue_url,paid_offer_url,lead_tool_url,main_order_issue_url,first_100_path,proof_rule,download_followup_url,money_counting_rule
2026-06-16 11:48:44 JST,jaxassistant55/local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,service,$175,2,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/releases/download/preview-v1/local-seo-gbp-audit-starter-close-ready-v2.zip,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/releases/download/preview-v1/local-seo-gbp-audit-starter-close-ready-v2.zip,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/inquiry.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/21,One paid Local SEO / GBP Audit order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#local-seo-gbp-audit-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/pdf-table-extraction-starter,PDF Table Extraction Starter,service,$125,2,https://github.com/jaxassistant55/pdf-table-extraction-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/pdf-table-extraction-starter/releases/download/preview-v1/pdf-table-extraction-starter-close-ready-v2.zip,https://github.com/jaxassistant55/pdf-table-extraction-starter/releases/download/preview-v1/pdf-table-extraction-starter-close-ready-v2.zip,https://jaxassistant55.github.io/pdf-table-extraction-starter/,https://jaxassistant55.github.io/pdf-table-extraction-starter/inquiry.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction.html,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-intake-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/20,One paid PDF/Table Extraction order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#pdf-table-extraction-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/static-service-site-starter,Static Service Site Starter,service,$200,0,https://github.com/jaxassistant55/static-service-site-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/static-service-site-starter/releases/download/preview-v1/static-service-site-starter-preview.zip,"",https://jaxassistant55.github.io/static-service-site-starter/,https://jaxassistant55.github.io/static-service-site-starter/inquiry.html,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/6,One paid static service site customization clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#static-service-site-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/niche-quote-estimator-starter,Niche Quote Estimator Starter,service,$150,0,https://github.com/jaxassistant55/niche-quote-estimator-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/niche-quote-estimator-starter/releases/download/preview-v1/niche-quote-estimator-starter-preview.zip,"",https://jaxassistant55.github.io/niche-quote-estimator-starter/,https://jaxassistant55.github.io/niche-quote-estimator-starter/inquiry.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,https://jaxassistant55.github.io/jax-micro-offer-studio/quote-estimator-scope-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/7,One paid Niche Quote Estimator order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#niche-quote-estimator-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/technical-docs-cleanup-starter,Technical Docs Cleanup Starter,service,$150,0,https://github.com/jaxassistant55/technical-docs-cleanup-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/technical-docs-cleanup-starter/releases/download/preview-v1/technical-docs-cleanup-starter-preview.zip,"",https://jaxassistant55.github.io/technical-docs-cleanup-starter/,https://jaxassistant55.github.io/technical-docs-cleanup-starter/inquiry.html,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-cleanup.html,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-audit-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/19,One paid Technical Docs Cleanup order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#technical-docs-cleanup-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/website-audit-microservice-starter,Website Audit Microservice Starter,service,$150,0,https://github.com/jaxassistant55/website-audit-microservice-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/website-audit-microservice-starter/releases/download/preview-v1/website-audit-microservice-starter-preview.zip,"",https://jaxassistant55.github.io/website-audit-microservice-starter/,https://jaxassistant55.github.io/website-audit-microservice-starter/inquiry.html,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-microservice.html,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-lite.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/4,One paid Website Audit Microservice order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#website-audit-microservice-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/workflow-tracker-dashboard-starter,Workflow Tracker Dashboard Starter,service,$150,0,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/releases/download/preview-v1/workflow-tracker-dashboard-starter-preview.zip,"",https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/inquiry.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/5,One paid workflow tracker sprint clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#workflow-tracker-dashboard-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/career-packet-starter,Career Packet Starter,service,$125,0,https://github.com/jaxassistant55/career-packet-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/career-packet-starter/releases/download/preview-v1/career-packet-starter-preview.zip,"",https://jaxassistant55.github.io/career-packet-starter/,https://jaxassistant55.github.io/career-packet-starter/inquiry.html,https://github.com/jaxassistant55/career-packet-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/resume-linkedin-interview-pack.html,https://jaxassistant55.github.io/jax-micro-offer-studio/career-packet-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/23,One paid Resume / LinkedIn / Interview Pack order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#career-packet-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/client-intake-sop-starter,Client Intake SOP Starter,service,$125,0,https://github.com/jaxassistant55/client-intake-sop-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/client-intake-sop-starter/releases/download/preview-v1/client-intake-sop-starter-preview.zip,"",https://jaxassistant55.github.io/client-intake-sop-starter/,https://jaxassistant55.github.io/client-intake-sop-starter/inquiry.html,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-and-sop-package.html,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-sop-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/22,One paid Client Intake and SOP Package order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#client-intake-sop-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/data-cleanup-sprint-starter,Data Cleanup Sprint Starter,service,$125,0,https://github.com/jaxassistant55/data-cleanup-sprint-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/data-cleanup-sprint-starter/releases/download/preview-v1/data-cleanup-sprint-starter-preview.zip,"",https://jaxassistant55.github.io/data-cleanup-sprint-starter/,https://jaxassistant55.github.io/data-cleanup-sprint-starter/inquiry.html,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/data-cleanup-sprint.html,https://jaxassistant55.github.io/jax-micro-offer-studio/csv-cleaner-lite.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/3,One paid Data Cleanup Sprint order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#data-cleanup-sprint-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/automation-blueprint-starter,Automation Blueprint Starter,service,$100,0,https://github.com/jaxassistant55/automation-blueprint-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/automation-blueprint-starter/releases/download/preview-v1/automation-blueprint-starter-preview.zip,"",https://jaxassistant55.github.io/automation-blueprint-starter/,https://jaxassistant55.github.io/automation-blueprint-starter/inquiry.html,https://github.com/jaxassistant55/automation-blueprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/automation-blueprint.html,https://jaxassistant55.github.io/jax-micro-offer-studio/workflow-blueprint-lite.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/2,One paid Automation Blueprint order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#automation-blueprint-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/content-repurposing-sprint-starter,Content Repurposing Sprint Starter,service,$100,0,https://github.com/jaxassistant55/content-repurposing-sprint-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/content-repurposing-sprint-starter/releases/download/preview-v1/content-repurposing-sprint-starter-preview.zip,"",https://jaxassistant55.github.io/content-repurposing-sprint-starter/,https://jaxassistant55.github.io/content-repurposing-sprint-starter/inquiry.html,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/content-repurposing-sprint.html,https://jaxassistant55.github.io/jax-micro-offer-studio/content-repurposing-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/18,One paid Content Repurposing Sprint order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#content-repurposing-sprint-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/resale-listing-research-starter,Resale Listing Research Starter,service,$100,0,https://github.com/jaxassistant55/resale-listing-research-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/resale-listing-research-starter/releases/download/preview-v1/resale-listing-research-starter-preview.zip,"",https://jaxassistant55.github.io/resale-listing-research-starter/,https://jaxassistant55.github.io/resale-listing-research-starter/inquiry.html,https://github.com/jaxassistant55/resale-listing-research-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/resale-listing-and-price-research-pack.html,https://jaxassistant55.github.io/jax-micro-offer-studio/resale-listing-draft-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/14,One paid Resale Listing and Price Research Pack order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#resale-listing-research-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/subscription-audit-savings-starter,Subscription Audit Savings Starter,service,$100,0,https://github.com/jaxassistant55/subscription-audit-savings-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/subscription-audit-savings-starter/releases/download/preview-v1/subscription-audit-savings-starter-preview.zip,"",https://jaxassistant55.github.io/subscription-audit-savings-starter/,https://jaxassistant55.github.io/subscription-audit-savings-starter/inquiry.html,https://github.com/jaxassistant55/subscription-audit-savings-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/subscription-audit-and-savings-prep-pack.html,https://jaxassistant55.github.io/jax-micro-offer-studio/subscription-savings-calculator.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/17,One paid Subscription Audit and Savings Prep Pack order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#subscription-audit-savings-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/translation-localization-draft-starter,Translation Localization Draft Starter,service,$100,0,https://github.com/jaxassistant55/translation-localization-draft-starter/releases/tag/preview-v1,https://github.com/jaxassistant55/translation-localization-draft-starter/releases/download/preview-v1/translation-localization-draft-starter-preview.zip,"",https://jaxassistant55.github.io/translation-localization-draft-starter/,https://jaxassistant55.github.io/translation-localization-draft-starter/inquiry.html,https://github.com/jaxassistant55/translation-localization-draft-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/translation-and-localization-draft-pack.html,https://jaxassistant55.github.io/jax-micro-offer-studio/localization-qa-brief-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/16,One paid Translation and Localization Draft Pack order clears $100 before fees/refunds.,"Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#translation-localization-draft-starter,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
2026-06-16 11:48:44 JST,jaxassistant55/browser-extension-template-preview,Browser Extension Template Preview,product,$29,0,https://github.com/jaxassistant55/browser-extension-template-preview/releases/tag/preview-v1,https://github.com/jaxassistant55/browser-extension-template-preview/releases/download/preview-v1/browser-extension-template-preview.zip,"",https://jaxassistant55.github.io/browser-extension-template-preview/,https://jaxassistant55.github.io/browser-extension-template-preview/inquiry.html,https://github.com/jaxassistant55/browser-extension-template-preview/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/browser-extension-template.html,https://jaxassistant55.github.io/jax-micro-offer-studio/browser-extension-template-preview-builder.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/8,Four paid browser-extension template transfers gross at least $100 before fees/refunds.,"Count $0 unless a real buyer accepts the product transfer, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",https://jaxassistant55.github.io/jax-micro-offer-studio/download-followup.html#browser-extension-template-preview,"Release downloads count $0. Count only externally posted, released, payable, or cleared payment after buyer acceptance and delivery."
