generated_at_jst,rank,catalog_row_id,title,offer_type,price,amount_usd,primary_url,best_buyer_action_url,best_buyer_action_label,structured_form_url,order_board_url,repo_url,payment_activation_url,terms_url,exact_acceptance_statement,buyer_gate,proof_rule,money_confirmed_usd
2026-06-16 12:36:20 JST,1,central-static-demo-site-customization,Static Demo Site Customization,service,$200,200.0,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://github.com/jaxassistant55/static-service-site-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,2,standalone-static-service-site-starter,Static Service Site Starter,service,$200,200.0,https://jaxassistant55.github.io/static-service-site-starter/,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://github.com/jaxassistant55/static-service-site-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,3,central-local-seo-gbp-audit,Local SEO / GBP Audit,service,$175,175.0,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,4,central-ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,5,central-niche-quote-estimator,Niche Quote Estimator,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,6,standalone-niche-quote-estimator-starter,Niche Quote Estimator Starter,service,$150,150.0,https://jaxassistant55.github.io/niche-quote-estimator-starter/,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,7,central-technical-docs-cleanup,Technical Docs Cleanup,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-cleanup.html,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://github.com/jaxassistant55/technical-docs-cleanup-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,8,standalone-technical-docs-cleanup-starter,Technical Docs Cleanup Starter,service,$150,150.0,https://jaxassistant55.github.io/technical-docs-cleanup-starter/,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/new?template=ready-to-pay-technical-docs-cleanup-starter.yml,https://github.com/jaxassistant55/technical-docs-cleanup-starter/issues/1,https://github.com/jaxassistant55/technical-docs-cleanup-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,9,central-website-audit-microservice,Website Audit Microservice,service,$150,150.0,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-microservice.html,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,https://github.com/jaxassistant55/website-audit-microservice-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,10,standalone-website-audit-microservice-starter,Website Audit Microservice Starter,service,$150,150.0,https://jaxassistant55.github.io/website-audit-microservice-starter/,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/new?template=ready-to-pay-website-audit-microservice-starter.yml,https://github.com/jaxassistant55/website-audit-microservice-starter/issues/1,https://github.com/jaxassistant55/website-audit-microservice-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,11,standalone-workflow-tracker-dashboard-starter,Workflow Tracker Dashboard Starter,service,$150,150.0,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,12,standalone-career-packet-starter,Career Packet Starter,service,$125,125.0,https://jaxassistant55.github.io/career-packet-starter/,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,https://github.com/jaxassistant55/career-packet-starter/issues/1,https://github.com/jaxassistant55/career-packet-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,13,standalone-client-intake-sop-starter,Client Intake SOP Starter,service,$125,125.0,https://jaxassistant55.github.io/client-intake-sop-starter/,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,https://github.com/jaxassistant55/client-intake-sop-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,14,central-client-intake-and-sop-package,Client Intake and SOP Package,service,$125,125.0,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-and-sop-package.html,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,https://github.com/jaxassistant55/client-intake-sop-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,15,central-data-cleanup-sprint,Data Cleanup Sprint,service,$125,125.0,https://jaxassistant55.github.io/jax-micro-offer-studio/data-cleanup-sprint.html,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,https://github.com/jaxassistant55/data-cleanup-sprint-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,16,standalone-data-cleanup-sprint-starter,Data Cleanup Sprint Starter,service,$125,125.0,https://jaxassistant55.github.io/data-cleanup-sprint-starter/,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,https://github.com/jaxassistant55/data-cleanup-sprint-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,17,central-pdf-table-extraction,PDF/Table Extraction,service,$125,125.0,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,https://github.com/jaxassistant55/pdf-table-extraction-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction-terms.html,"I accept the PDF/Table Extraction fixed-scope terms at $125. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-owned/buyer-authorized non-sensitive documents through an approved channel; the deliverable is limited to extracted CSV/XLSX output, ambiguity notes, and a repeatable extraction checklist for the accepted sample; and confidential regulated data handling, OCR of large batches, custom software implementation, credential/account access, ongoing support, or extra revisions are not included unless separately agreed before payment.","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
2026-06-16 12:36:20 JST,18,central-resume-linkedin-interview-pack,Resume / LinkedIn / Interview Pack,service,$125,125.0,https://jaxassistant55.github.io/jax-micro-offer-studio/resume-linkedin-interview-pack.html,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,https://github.com/jaxassistant55/career-packet-starter/issues/1,https://github.com/jaxassistant55/career-packet-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"","","Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0
