generated_at_jst,service_slug,service_title,price,price_usd,invoice_id_suggestion,invoice_line_item,buyer_reply_script,scope_acceptance_script,proof_required,payment_url_to_fill,seller_contact_to_fill,buyer_name_to_fill,due_date_to_fill,configured_message_output
2026-06-11 16:37:47 JST,static-demo-site-customization,Static Demo Site Customization,$200,200,MOS-20260611-STATIC-DEMO-SITE-CUSTOMIZATION,"Static Demo Site Customization fixed-scope service - Customized static site folder, preview link or ZIP, content checklist, and launch notes. - $200","Thanks for the request. I can do Static Demo Site Customization for $200 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Business name, public service description, service area, brand colors, public testimonials only if authorized, and preferred call to action.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Static Demo Site Customization at $200.

Included deliverables: Customized static site folder, preview link or ZIP, content checklist, and launch notes.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $200, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,local-seo-gbp-audit,Local SEO / GBP Audit,$175,175,MOS-20260611-LOCAL-SEO-GBP-AUDIT,"Local SEO / GBP Audit fixed-scope service - Audit report, citation cleanup tracker, profile-copy suggestions, and review-response templates. - $175","Thanks for the request. I can do Local SEO / GBP Audit for $175 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Public business profile URL, public website URL, target services, service area, and known citation/profile concerns.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Local SEO / GBP Audit at $175.

Included deliverables: Audit report, citation cleanup tracker, profile-copy suggestions, and review-response templates.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $175, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,ai-workflow-tracker-sprint,AI Workflow Tracker Sprint,$150,150,MOS-20260611-AI-WORKFLOW-TRACKER-SPRINT,"AI Workflow Tracker Sprint fixed-scope service - CSV tracker, static dashboard, status definitions, and quickstart. - $150","Thanks for the request. I can do AI Workflow Tracker Sprint for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Pipeline columns, sample non-sensitive rows, workflow stages, status definitions, and the buyer's reporting goal.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for AI Workflow Tracker Sprint at $150.

Included deliverables: CSV tracker, static dashboard, status definitions, and quickstart.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,niche-quote-estimator,Niche Quote Estimator,$150,150,MOS-20260611-NICHE-QUOTE-ESTIMATOR,"Niche Quote Estimator fixed-scope service - Browser estimator HTML, pricing assumptions CSV, test cases, and buyer handoff note. - $150","Thanks for the request. I can do Niche Quote Estimator for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Pricing factors, minimum fee, add-ons, exclusions, example jobs, and the buyer's rounding/discount rules.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Niche Quote Estimator at $150.

Included deliverables: Browser estimator HTML, pricing assumptions CSV, test cases, and buyer handoff note.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,technical-docs-cleanup,Technical Docs Cleanup,$150,150,MOS-20260611-TECHNICAL-DOCS-CLEANUP,"Technical Docs Cleanup fixed-scope service - Rewrite sample, docs audit rubric, checklist, and handoff report. - $150","Thanks for the request. I can do Technical Docs Cleanup for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Public README/docs URL or buyer-authorized text, target reader, install path, failure points, and preferred style.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Technical Docs Cleanup at $150.

Included deliverables: Rewrite sample, docs audit rubric, checklist, and handoff report.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,website-audit-microservice,Website Audit Microservice,$150,150,MOS-20260611-WEBSITE-AUDIT-MICROSERVICE,"Website Audit Microservice fixed-scope service - One HTML/PDF audit, prioritized fixes, screenshots or cited sections, and a concise next-action list. - $150","Thanks for the request. I can do Website Audit Microservice for $150 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Public website URL, target audience, target conversion, three competitor URLs if available, and the buyer's allowed improvement priorities.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Website Audit Microservice at $150.

Included deliverables: One HTML/PDF audit, prioritized fixes, screenshots or cited sections, and a concise next-action list.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $150, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,client-intake-and-sop-package,Client Intake and SOP Package,$125,125,MOS-20260611-CLIENT-INTAKE-AND-SOP-PACKAGE,"Client Intake and SOP Package fixed-scope service - Intake question bank, SOP draft, delivery checklist, and owner handoff notes. - $125","Thanks for the request. I can do Client Intake and SOP Package for $125 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Current intake steps, public service description, required fields, approval stages, and handoff owner names or roles.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Client Intake and SOP Package at $125.

Included deliverables: Intake question bank, SOP draft, delivery checklist, and owner handoff notes.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,data-cleanup-sprint,Data Cleanup Sprint,$125,125,MOS-20260611-DATA-CLEANUP-SPRINT,"Data Cleanup Sprint fixed-scope service - Cleaned CSV/XLSX, validation counts, before/after sample, and QA note. - $125","Thanks for the request. I can do Data Cleanup Sprint for $125 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: A buyer-authorized CSV/XLSX export with secrets removed, desired column names, duplicate rules, and the expected output format.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Data Cleanup Sprint at $125.

Included deliverables: Cleaned CSV/XLSX, validation counts, before/after sample, and QA note.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,pdf-table-extraction,PDF/Table Extraction,$125,125,MOS-20260611-PDF-TABLE-EXTRACTION,"PDF/Table Extraction fixed-scope service - Extracted CSV, QA report, file intake map, and delivery checklist. - $125","Thanks for the request. I can do PDF/Table Extraction for $125 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Buyer-authorized PDFs or sample pages, target tables, desired columns, output format, and redaction requirements.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for PDF/Table Extraction at $125.

Included deliverables: Extracted CSV, QA report, file intake map, and delivery checklist.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,resume-linkedin-interview-pack,Resume / LinkedIn / Interview Pack,$125,125,MOS-20260611-RESUME-LINKEDIN-INTERVIEW-PACK,"Resume / LinkedIn / Interview Pack fixed-scope service - Truthful rewrite sample, keyword map, cover letter template, and interview prep worksheet. - $125","Thanks for the request. I can do Resume / LinkedIn / Interview Pack for $125 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Buyer-owned resume/LinkedIn text, target roles, truthful achievements, job links, and privacy limits.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Resume / LinkedIn / Interview Pack at $125.

Included deliverables: Truthful rewrite sample, keyword map, cover letter template, and interview prep worksheet.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $125, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,automation-blueprint,Automation Blueprint,$100,100,MOS-20260611-AUTOMATION-BLUEPRINT,"Automation Blueprint fixed-scope service - Workflow blueprint, field map, failure-path checklist, and test plan. - $100","Thanks for the request. I can do Automation Blueprint for $100 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Trigger event, allowed tools, fields to map, approval step, failure cases, and one sanitized example record.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Automation Blueprint at $100.

Included deliverables: Workflow blueprint, field map, failure-path checklist, and test plan.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $100, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,content-repurposing-sprint,Content Repurposing Sprint,$100,100,MOS-20260611-CONTENT-REPURPOSING-SPRINT,"Content Repurposing Sprint fixed-scope service - Repurposing map, social post bank, newsletter draft, and channel-specific QA note. - $100","Thanks for the request. I can do Content Repurposing Sprint for $100 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Buyer-owned source article/transcript/link, target channels, tone, prohibited claims, and required calls to action.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Content Repurposing Sprint at $100.

Included deliverables: Repurposing map, social post bank, newsletter draft, and channel-specific QA note.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $100, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,resale-listing-and-price-research-pack,Resale Listing and Price Research Pack,$100,100,MOS-20260611-RESALE-LISTING-AND-PRICE-RESEARCH-PACK,"Resale Listing and Price Research Pack fixed-scope service - Listing draft, price research table, photo checklist, and posting checklist. - $100","Thanks for the request. I can do Resale Listing and Price Research Pack for $100 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Buyer-owned item photos, brand/model/condition, platform preference, shipping constraints, and known defects.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Resale Listing and Price Research Pack at $100.

Included deliverables: Listing draft, price research table, photo checklist, and posting checklist.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $100, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,subscription-audit-and-savings-prep-pack,Subscription Audit and Savings Prep Pack,$100,100,MOS-20260611-SUBSCRIPTION-AUDIT-AND-SAVINGS-PREP-PACK,"Subscription Audit and Savings Prep Pack fixed-scope service - Audit template, cancellation/refund script pack, savings dashboard, and proof checklist. - $100","Thanks for the request. I can do Subscription Audit and Savings Prep Pack for $100 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Buyer-exported recurring-charge list with account numbers removed, renewal dates, must-keep tools, and cancellation constraints.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Subscription Audit and Savings Prep Pack at $100.

Included deliverables: Audit template, cancellation/refund script pack, savings dashboard, and proof checklist.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $100, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,translation-and-localization-draft-pack,Translation and Localization Draft Pack,$100,100,MOS-20260611-TRANSLATION-AND-LOCALIZATION-DRAFT-PACK,"Translation and Localization Draft Pack fixed-scope service - Localized draft, glossary, QA checklist, and localization notes. - $100","Thanks for the request. I can do Translation and Localization Draft Pack for $100 as a fixed-scope order.

To lock scope, please confirm:
1. Authorized inputs: Buyer-owned source text, target locale, glossary, prohibited terms, intended audience, and review owner.
2. Deadline and timezone:
3. Exact acceptance proof:
4. Delivery preference:
5. External payment/proof route you want to use:

Paid work starts only after the scope is accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post secrets, payment details, private identifiers, or files you are not allowed to share in a public GitHub issue.","Scope accepted for Translation and Localization Draft Pack at $100.

Included deliverables: Localized draft, glossary, QA checklist, and localization notes.

Not included unless explicitly added before payment: ongoing support, extra revisions, private-account login work, regulated advice, scraping behind logins, paid ads, purchasing, publishing under the buyer's identity, or handling secrets/payment data.

Payment/proof needed before delivery work begins: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted scope, external payment record for $100, delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
2026-06-11 16:37:47 JST,first-100-product-bundle,First $100 Product Bundle,$100,100,MOS-20260611-FIRST-100-PRODUCT-BUNDLE,"First $100 Product Bundle private transfer - Private first-100-product-bundle.zip transfer, public manifest, delivery checklist, and buyer handoff note. - $100","Thanks for the request. I can transfer the First $100 Product Bundle for $100 as a fixed product-transfer order.

To lock terms, please confirm:
1. Authorized use: internal/business use only, no resale or redistribution.
2. Delivery email or private delivery channel:
3. Exact acceptance proof:
4. External payment/proof route you want to use:

The private ZIP is delivered only after terms are accepted and payment is posted, funded, released, payable, or otherwise externally provable. Please do not post passwords, payment details, tax identifiers, private identifiers, or confidential files in a public GitHub issue.","Terms accepted for First $100 Product Bundle at $100.

Included deliverables: private first-100-product-bundle.zip transfer, public manifest links, delivery checklist, and buyer handoff note.

Not included unless explicitly added before payment: custom implementation, ongoing support, extra revisions, resale/redistribution rights, private-account login work, regulated advice, paid ads, purchasing, or handling secrets/payment data.

Payment/proof needed before transfer: external checkout, invoice, marketplace order, funded milestone, posted transfer, or another record that can be saved as payment proof.","Buyer request or issue URL, accepted product-transfer terms, external payment record for $100, private ZIP delivery artifact or transfer record, buyer acceptance if required, and posted/released/payable payout status.","","","","",Use payment_activation/index.html to paste a real user-owned payment URL and generate this safely.
